model,black_aor,lower95,upper95,p,attenuation
base,1.400309658080217,0.61423544247122,3.192370551955916,0.42325349324531514,0
insurance,1.115001483367073,0.45797158541613503,2.7146407058881517,0.8105041685399933,71.27186890304104
income,0.9489645590629376,0.3821871449500153,2.356263799702873,0.910116583266489,112.74899066433105
education,1.0531406175642861,0.4410110059728094,2.5149149235338317,0.9071909677582888,86.72512229179407
employment,1.185005274228996,0.45973775165236247,3.054431564307064,0.725306769312168,53.78445898202053
housing,1.2273458589625739,0.5168931659108612,2.9142924628497693,0.642439180925266,43.207500899961644
housing_stability,1.3186401072046818,0.5730514065746647,3.03430322721356,0.5153586610378256,20.40159392286499
disability,1.3712352156642977,0.5972182358163547,3.1484069037304203,0.4565979813198499,7.26298799668059
joint_sdoh,0.5984710020646417,0.19151494253804863,1.8701806530897638,0.3771889358820596,200.30459915980768
